rodzaj;kod pocztowy;miasto;ulica;Lat;Long
AOS;82-300;ELBL•G;ALEJA TYSI•CLECIA 5;54.156011;19.40297
AOS;82-300;ELBL•G;TYSI•CLECIA 5;54.156011;19.40297
POZ;82-300;ELBL•G;TYSI•CLECIA 5;54.156011;19.40297
STM;82-300;ELBL•G;ALEJA TYSI•CLECIA 5/POK113;54.156011;19.40297
AOS;82-300;ELBL•G;1MAJA 58/E;54.159747;19.403286
STM;82-300;ELBL•G;1 MAJA 58/P;54.159747;19.403286
ZPO;82-300;ELBL•G;1 MAJA 58;54.159747;19.403286
POZ;82-300;ELBL•G;KR”LEWIECKA 42;54.163957;19.403422
STM;82-300;ELBL•G;KR”LEWIECKA 42;54.163957;19.403422
POZ;82-325;ØURAWIEC;KWIATOWA 3;54.087009;19.403667
ZPO;82-300;ELBL•G;HETMA—SKA 22;54.157421;19.404027
ZPO;82-300;ELBL•G;12-GO LUTEGO 2;54.156061;19.40449
ZPO;82-300;ELBL•G;12-GO LUTEGO 21/23;54.156061;19.40449
ZPO;82-300;ELBL•G;HETMA—SKA 11/6;54.157288;19.404552
ZPO;82-300;ELBL•G;12 LUTEGO 6;54.161921;19.404734
ZPO;82-300;ELBL•G;P£K.DABKA 79;54.173121;19.404982
ZPO;82-300;ELBL•G;P£K.D•BKA 175;54.177648;19.40509
PSY;82-300;ELBL•G;TRYBUNALSKA 11;54.161788;19.406344
ZPO;82-300;ELBL•G;UL. 3-GO MAJA 12/14;54.157039;19.406546
POZ;82-300;ELBL•G;MIELCZARSKIEGO 45;54.147989;19.406862
STM;82-300;ELBL•G;ZIELONA 1B;54.162046;19.407148
ZPO;82-300;ELBL•G;ZIELONA 1;54.162046;19.407148
POZ;82-300;ELBL•G;UROCZA 4;54.169431;19.407516
AOS;82-300;ELBL•G;KOSYNIER”W GDY—SKICH 51-53/1;54.16312;19.407539
PRO;82-300;ELBL•G;KOSYNIER”W GDY—SKICH 51-53/1;54.16312;19.407539
STM;82-300;ELBL•G;OBOèNA 19E;54.156596;19.408318
SPO;82-300;ELBL•G;SKRZYDLATA 15A;54.143718;19.409097
ZPO;82-300;ELBL•G;BA£UCKIEGO 5/5L;54.158406;19.409224
POZ;82-300;ELBL•G;S£ONECZNA 14;54.162662;19.409483
AOS;82-300;ELBL•G;BAØY—SKIEGO 2;54.168003;19.409604
POZ;82-300;ELBL•G;BAØY—SKIEGO 2;54.168003;19.409604
STM;82-300;ELBL•G;BAØY—SKIEGO 2;54.168003;19.409604
POZ;82-300;ELBL•G;TRAUGUTTA 91;54.160295;19.409611
ZPO;82-300;ELBL•G;KR”LEWIECKA 123;54.169866;19.410085
ZPO;82-300;ELBL•G;GROBLA åW. JERZEGO 13;54.1587;19.411364
STM;82-300;ELBL•G;GROBLA åW. JERZEGO 14 A;54.158696;19.411624
AOS;82-300;ELBL•G;UL. ZW. JASZCZURCZEGO 22;54.156683;19.411742
AOS;82-300;ELBL•G;ZWI•ZKU JASZCZURCZEGO 22;54.156683;19.411742
SOK;82-300;ELBL•G;ZW. JASZCZURCZEGO 22;54.156683;19.411742
SZP;82-300;ELBL•G;UL. ZW. JASZCZURCZEGO 22;54.156683;19.411742
POZ;82-300;ELBL•G;ZAJCHOWSKIEGO 12;54.164386;19.412044
POZ;82-300;ELBL•G;LOTNICZA 51;54.150142;19.412204
POZ;82-300;ELBL•G;KOPERNIKA 27;54.167787;19.412363
POZ;82-300;ELBL•G;PI£SUDSKIEGO 4;54.177833;19.412428
ZPO;82-300;ELBL•G;POLNA 18;54.155669;19.412561
STM;82-300;ELBL•G;åCIEGIENNEGO 2/C;54.159464;19.413041
ZPO;82-300;ELBL•G;GRUNWALDZKA 43A;54.153976;19.413592
POZ;82-300;ELBL•G;KR”LEWIECKA 128;54.171514;19.413933
STM;82-300;ELBL•G;KR”LEWIECKA 128;54.171514;19.413933
POZ;82-300;ELBL•G;POLNA 8A;54.156991;19.4144
POZ;82-300;ELBL•G;KORCZAKA 34;54.188557;19.414771
STM;82-300;ELBL•G;KORCZAKA 34;54.188557;19.414771
POZ;83-300;ELBL•G;LOTNICZA 12;54.148577;19.415538
STM;82-300;ELBL•G;£OWICKA 3;54.186223;19.415683
POZ;82-300;ELBL•G;MODLI—SKA 39;54.17949;19.415896
AOS;82-300;ELBL•G;OG”LNA 53/1;54.187392;19.415913
STM;82-300;ELBL•G;GRUNWALDZKA 63/1;54.152938;19.416527
ZPO;82-300;ELBL•G;PL. DWORCOWY 1;54.151139;19.417104
STM;82-300;ELBL•G;PLAC DWORCOWY 3-A/Y;54.151454;19.417108
STM;82-300;ELBL•G;NIEPODLEG£OåCI 39;54.182488;19.41717
POZ;82-300;ELBL•G;MICKIEWICZA 41;54.158017;19.417237
RTM;82-300;ELBL•G;ORZESZKOWEJ 6;54.160381;19.417247
POZ;82-300;ELBL•G;AGRIKOLA 6;54.166444;19.417569
POZ;82-300;ELBL•G;SIENKIEWICZA 4;54.163918;19.417812
SPO;82-300;ELBL•G;GUSTAWA MORCINKA 10B;54.153729;19.417982
AOS;82-300;ELBL•G;ELIZY ORZESZKOWEJ 13;54.161008;19.418135
POZ;82-300;ELBL•G;ELIZY ORZESZKOWEJ 13;54.161008;19.418135
STM;82-300;ELBL•G;ELIZY ORZESZKOWEJ 13;54.161008;19.418135
ZPO;82-300;ELBL•G;BEMA 14;54.158968;19.418269
POZ;82-300;ELBL•G;ØEROMSKIEGO 2B;54.15247;19.418859
POZ;82-300;ELBL•G;GENERA£A J”ZEFA BEMA 17;54.159054;19.419433
STM;82-300;ELBL•G;BRONIEWSKIEGO 51;54.18333;19.41979
AOS;82-300;ELBL•G;ØEROMSKIEGO 2;54.15397;19.420386
STM;82-300;ELBL•G;ØEROMSKIEGO 2;54.15397;19.420386
ZPO;82-300;ELBL•G;ØEROMSKIEGO 2;54.15397;19.420386
STM;82-300;ELBL•G;GDY—SKA 51;54.182648;19.420571
ZPO;82-300;ELBL•G;BEMA 43;54.1592;19.420829
AOS;82-300;ELBL•G;STEFANA ØEROMSKIEGO 22;54.158495;19.421397
ZPO;82-300;ELBL•G;BEMA 49;54.159069;19.421965
AOS;82-300;ELBL•G;ØEROMSKIEGO 22;54.157305;19.421974
PRO;82-300;ELBL•G;ØEROMSKIEGO 22;54.157305;19.421974
PSY;82-300;ELBL•G;ØEROMSKIEGO 22;54.157305;19.421974
SPO;82-300;ELBL•G;ØEROMSKIEGO 22;54.157305;19.421974
SZP;82-300;ELBL•G;ØEROMSKIEGO 22;54.157305;19.421974
ZPO;82-300;ELBL•G;ØEROMSKIEGO 22;54.157305;19.421974
POZ;82-300;ELBL•G;LEGION”W 11;54.178983;19.422032
POZ;82-300;ELBL•G;JANA AMOSA KOME—SKIEGO 35;54.153899;19.423336
AOS;82-300;ELBL•G;BEMA 42;54.158584;19.424319
PRO;82-300;ELBL•G;BEMA 42;54.158584;19.424319
REH;82-300;ELBL•G;SAPER”W 14D;54.163022;19.424455
POZ;82-300;ELBL•G;KR”LEWIECKA 195;54.178692;19.424668
PSY;82-300;ELBL•G;KR”LEWIECKA 195;54.178692;19.424668
POZ;82-300;ELBL•G;KOME—SKIEGO 39;54.157698;19.425461
STM;82-300;ELBL•G;SAPER”W 14F;54.162912;19.425661
AOS;82-300;ELBL•G;J.A.KOME—SKIEGO 35;54.155989;19.425851
AOS;82-300;ELBL•G;KOME—SKIEGO 35;54.155989;19.425851
POZ;82-300;ELBL•G;KOME—SKIEGO 35;54.155989;19.425851
PSY;82-300;ELBL•G;KOME—SKIEGO 35;54.155989;19.425851
REH;82-300;ELBL•G;KOME—SKIEGO 35;54.155989;19.425851
SZP;82-300;ELBL•G;KOME—SKIEGO 35;54.155989;19.425851
ZPO;82-300;ELBL•G;KOME—SKIEGO 35/1;54.155989;19.425851
AOS;82-300;ELBL•G;MYLIUSA 20;54.189394;19.42614
POZ;82-300;ELBL•G;MYLIUSA 20;54.189394;19.42614
STM;82-300;ELBL•G;MYLIUSA 20;54.189394;19.42614
POZ;82-300;ELBL•G;SADOWA 2;54.150357;19.42657
PSY;82-300;ELBL•G;KR”LEWIECKA 197;54.179593;19.426775
POZ;82-300;ELBL•G;SAPER”W 14 F;54.161052;19.427392
POZ;82-300;ELBL•G;BEMA 50;54.158453;19.427444
OPH;82-300;ELBL•G;TORU—SKA 17B;54.17098;19.428047
SPO;82-300;ELBL•G;TORU—SKA 17B;54.17098;19.428047
POZ;82-300;ELBL•G;SAPER”W 20;54.163053;19.428208
AOS;82-300;ELBL•G;KR”LEWIECKA 146;54.179697;19.429063
AOS;82-300;ELBL•G;KR”LEWIECKA 146/1014;54.179697;19.429063
AOS;82-300;ELBL•G;KR”LEWIECKA 146/1020-21;54.179697;19.429063
AOS;82-300;ELBL•G;KR”LEWIECKA 146/1035;54.179697;19.429063
AOS;82-300;ELBL•G;KR”LEWIECKA 146/1038;54.179697;19.429063
PDT;82-300;ELBL•G;KR”LEWIECKA 146;54.179697;19.429063
POZ;82-300;ELBL•G;KR”LEWIECKA 146;54.179697;19.429063
POZ;82-300;ELBL•G;KR”LEWIECKA 146/1040;54.179697;19.429063
PRO;82-300;ELBL•G;KR”LEWIECKA 146;54.179697;19.429063
REH;82-300;ELBL•G;KR”LEWIECKA 146;54.179697;19.429063
RTM;82-300;ELBL•G;KR”LEWIECKA 146;54.179697;19.429063
SOK;82-300;ELBL•G;KR”LEWIECKA 146;54.179697;19.429063
STM;82-300;ELBL•G;KR”LEWIECKA 146;54.179697;19.429063
SZP;82-300;ELBL•G;KR”LEWIECKA 146;54.179697;19.429063
ZPO;82-300;ELBL•G;KR”LEWIECKA 146;54.179697;19.429063
POZ;82-300;ELBL•G;WYØYNNA 3;54.159906;19.43241
AOS;82-300;ELBL•G;BEMA 80;54.158199;19.433047
POZ;82-300;ELBL•G;BEMA 80;54.158199;19.433047
SPO;82-300;ELBL•G;GEN,J”ZEFA BEMA 80;54.158199;19.433047
STM;82-300;ELBL•G;GENERA£A J”ZEFA BEMA 80;54.158199;19.433047
PSY;82-300;ELBL•G;BEMA 80;54.158199;19.433047
STM;82-300;ELBL•G;CHE£MO—SKIEGO 6;54.150218;19.433716
POZ;82-300;ELBL•G;GROTTGERA 71;54.150617;19.435746
POZ;82-340;SUCHACZ;ZAKOPIA—SKA 2;54.283595;19.438373
ZPO;82-300;ELBL•G;MORSZY—SKA 54;54.148743;19.440053
POZ;82-300;ELBL•G;RAWSKA 3;54.146476;19.442266
ZPO;14-241;Z•BROWO;43A/43A;53.636843;19.454678
AOS;14-241;Z•BROWO;44B;53.63739;19.45487
POZ;14-241;Z•BROWO;44B;53.63739;19.45487
REH;14-241;Z•BROWO;44B;53.63739;19.45487
STM;14-241;Z•BROWO;44B;53.63739;19.45487
PRO;90-420;£”Dè-åR”DMIEåCIE;A.STRUGA 3;51.765548;19.455863
AOS;82-316;MILEJEWO;LIPOWA 4;54.187524;19.469885
POZ;82-316;MILEJEWO;LIPOWA 4;54.187524;19.469885
STM;82-316;MILEJEWO;LIPOWA 4;54.187524;19.469885
POZ;13-304;SKARLIN;SKARLIN 1;53.466960;19.484500
POZ;14-240;PIOTRKOWO;5;53.694306;19.49944
POZ;13-332;JAMIELNIK;JAMIELNIK 53A;53.5254;19.50553
STM;82-300;RYCHLIKI;X X;53.971717;19.510894
STM;82-310;KOMOROWO ØU£AWSKIE;12;54.108165;19.515426
POZ;14-411;RYCHLIKI;- 101;53.984525;19.522254
RTM;82-340;TOLKMICKO;SPORTOWA 1;54.315744;19.523228
POZ;82-340;£ CZE;£ CZE 40;54.288129;19.523277
AOS;82-340;TOLKMICKO;PLAC WOLNOåCI 1;54.319924;19.527284
POZ;82-340;TOLKMICKO;PL. WOLNOåCI 1;54.319924;19.527284
STM;82-340;TOLKMICKO;PL.WOLNOåCI 1;54.319924;19.527284
POZ;13-306;TERESZEWO;TERESZEWO 19;53.383983;19.527395
POZ;13-306;MARZ CICE;SZKOLNA 21;53.430089;19.537559
STM;13-306;MARZ CICE;SZKOLNA 21;53.430089;19.537559
RTM;14-200;I£AWA;SIENKIEWICZA 24;53.599528;19.547569
POZ;14-200;I£AWA;WIEJSKA 11;53.587038;19.550859
STM;14-200;I£AWA;WIEJSKA 11;53.587038;19.550859
POZ;13-300;BRATIAN;BRATIAN 47;53.472221;19.551441
POZ;14-200;I£AWA;SIENKIEWICZA 5;53.598592;19.551674
STM;14-200;I£AWA;GDA—SKA 5A/47;53.590429;19.554378
ZPO;14-202;I£AWA;OKULICKIEGO 1;53.585472;19.555076
PRO;14-200;I£AWA;GDA—SKA 10;53.590367;19.555309
ZPO;14-200;I£AWA;WIEJSKA 5;53.585376;19.556417
POZ;14-200;I£AWA;MIEROS£AWSKIEGO 6;53.598202;19.558145
AOS;14-200;I£AWA;WIEJSKA 2A;53.585508;19.558165
ZPO;14-202;I£AWA;WIEJSKA 2C;53.585508;19.558165
POZ;14-200;I£AWA;MARII CURIE - SK£ODOWSKIEJ 31;53.584724;19.558282
AOS;14-200;I£AWA;MIEROS£AWSKIEGO 12;53.59662;19.558698
POZ;14-200;I£AWA;MIEROS£AWSKIEGO 12;53.59662;19.558698
POZ;14-200;I£AWA;M.C. SK£ODOWSKIEJ 24A;53.584703;19.560185
POZ;14-200;I£AWA;SK£ODOWSKIEJ 24A;53.584703;19.560185
REH;14-200;I£AWA;M.C. SK£ODOWSKIEJ 24A;53.584703;19.560185
STM;14-200;I£AWA;SK£ODOWSKIEJ 24 A;53.584703;19.560185
ZPO;14-200;I£AWA;SK£ODOWSKIEJ 24 A;53.584703;19.560185
ZPO;14-200;I£AWA;SK£ODOWSKIEJ 24A;53.584703;19.560185
ZPO;14-200;I£AWA;NIEPODLEG£OåCI 14;53.597853;19.561512
REH;14-200;I£AWA;NIEPODLEG£OåCI 11B;53.596041;19.561846
POZ;14-200;I£AWA;NIEPODLEG£OåCI 11 A;53.597289;19.562104
STM;14-200;I£AWA;NIEPODLEG£OåCI 11;53.597289;19.562104
ZPO;14-200;I£AWA;M.C. SK£ODOWSKIEJ 25C;53.583387;19.562565
ZPO;14-200;I£AWA;D•BROWSKIEGO 18A;53.600869;19.562815
STM;14-200;I£AWA;SK£ODOWSKIEJ 23A;53.583091;19.563027
POZ;14-200;I£AWA;KOPERNIKA 8;53.590228;19.564586
AOS;14-200;I£AWA;NARUTOWICZA 8A;53.59883;19.56488
STM;14-200;I£AWA;NARUTOWICZA 8A/1;53.59883;19.56488
POZ;14-200;I£AWA;ANDERSA 7;53.587135;19.565128
ZPO;14-100;I£AWA;KR”LOWEJ JADWIGI 6/B0.02;53.595626;19.565489
AOS;14-200;I£AWA;GEN. W£. ANDERSA 3;53.586071;19.566362
OPH;14-200;I£AWA;GEN. W£. ANDERSA 3;53.586071;19.566362
POZ;14-200;I£AWA;GEN. W£. ANDERSA 3;53.586071;19.566362
AOS;14-200;I£AWA;GEN. ANDERSA 3;53.586071;19.566362
AOS;14-200;I£AWA;UL. GEN. W£. ANDERSA 3;53.586071;19.566362
SPO;14-200;I£AWA;ANDERSA 3;53.586071;19.566362
SZP;14-200;I£AWA;GEN. ANDERSA 3;53.586071;19.566362
PSY;14-200;I£AWA;GEN. W£. ANDERSA 3;53.586071;19.566362
REH;14-200;I£AWA;GEN. W£. ANDERSA 3;53.586071;19.566362
RTM;14-200;I£AWA;GEN. W£. ANDERSA 3;53.586071;19.566362
SZP;14-200;I£AWA;GEN. W£. ANDERSA 3;53.586071;19.566362
ZPO;14-200;I£AWA;GEN. W£. ANDERSA 3;53.586071;19.566362
POZ;14-200;I£AWA;KOåCIUSZKI 2;53.596262;19.566365
STM;14-200;I£AWA;KOåCIUSZKI 3/1A;53.596468;19.566386
ZPO;14-200;I£AWA;D•BROWSKIEGO 46B/1A;53.604726;19.567267
ZPO;14-200;I£AWA;KOPERNIKA 3/4A;53.590165;19.56813
ZPO;14-200;I£AWA;GRUNWALDZKA 1;53.595093;19.568323
AOS;14-200;I£AWA;GEN.W£.ANDERSA 3;53.595981;19.56841
ZPO;14-200;I£AWA;WYSZY—SKIEGO 12/8,9;53.595981;19.56841
SOK;14-200;I£AWA;GEN.W£.ANDERSA 3;53.595981;19.56841
SZP;14-200;I£AWA;GEN.W£.ANDERSA 3;53.595981;19.56841
AOS;14-200;I£AWA;KOPERNIKA 4C;53.59016;19.5685499
ZPO;14-200;I£AWA;KOPERNIKA 4C;53.59016;19.5685499
ZPO;14-200;I£AWA;GEN.ANDERSA 2C;53.586087;19.569449
POZ;14-200;I£AWA;KOåCIUSZKI 23A;53.595606;19.569883
POZ;13-300;TYLICE;TYLICE 2;53.443824;19.571795
AOS;14-200;I£AWA;KOåCIUSZKI 35/3;53.595096;19.572355
ZPO;14-200;I£AWA;KOåCIUSZKI 35/2;53.595096;19.572355
ZPO;14-200;I£AWA;WYSZY—SKIEGO 33;53.588724;19.573289
POZ;14-200;I£AWA;ALEJA JANA PAW£A II 14;53.584681;19.578054
REH;14-200;I£AWA;ALEJA JANA PAW£A II 14;53.584681;19.578054
STM;14-200;I£AWA;ALEJA JANA PAW£A II 14;53.584681;19.578054
AOS;13-306;KURZ TNIK;£•KOWA 10;53.400337;19.578472
POZ;13-306;KURZ TNIK;£•KOWA 10;53.400337;19.578472
STM;13-306;KURZ TNIK;£•KOWA 10;53.400337;19.578472
POZ;13-304;RADOMNO;RADOMNO 18;53.492725;19.581682
POZ;13-306;KURZ TNIK;GRUNWALDZKA 35;53.4002;19.581685
ZPO;13-306;KURZ TNIK;SIENKIEWICZA 3;53.399142;19.582766
POZ;13-306;KURZ TNIK;GRUNWALDZKA 49;53.40165;19.584247
POZ;13-300;NOWE MIASTO LUBAWSKIE;3 MAJA 24;53.425396;19.586223
AOS;13-300;NOWE MIASTO LUBAWSKIE;MICKIEWICZA 10;53.424115;19.586359
POZ;13-300;NOWE MIASTO LUBAWSKIE;MICKIEWICZA 10;53.424115;19.586359
RTM;13-300;NOWE MIASTO LUBAWSKIE;MICKIEWICZA 10;53.424115;19.586359
STM;13-300;NOWE MIASTO LUBAWSKIE;MICKIEWICZA 10;53.424115;19.586359
SZP;13-300;NOWE MIASTO LUBAWSKIE;MICKIEWICZA 10;53.424115;19.586359
AOS;13-300;NOWE MIASTO LUBAWSKIE;MICKIEWICZA 11B;53.424625;19.587424
POZ;13-300;NOWE MIASTO LUBAWSKIE;MICKIEWICZA 11B;53.424625;19.587424
ZPO;13-300;NOWE MIASTO LUBAWSKIE;MICKIEWICZA 11B;53.424625;19.587424
AOS;13-300;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA 3A;53.427452;19.588046
POZ;13-300;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA 3A;53.427452;19.588046
PRO;13-300;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA 3A;53.427452;19.588046
REH;13-300;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA 3A;53.427452;19.588046
SOK;13-300;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA 3A;53.427452;19.588046
ZPO;13-300;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA 3A;53.427452;19.588046
PSY;13-300;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA 3;53.427593;19.588094
REH;13-300;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA 3;53.427593;19.588094
STM;13-300;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA 3;53.427593;19.588094
ZPO;13-300;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA 3;53.427593;19.588094
AOS;13-300;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA 2/4;53.426171;19.588267
OPH;13-300;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA 4/2;53.426444;19.588449
SPO;13-300;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA 4/2;53.426444;19.588449
ZPO;13-300;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA 11B;53.429538;19.588841
ZPO;13-300;NOWE MIASTO LUBAWSKIE;UL. DZIA£Y—SKICH 1/A/C;53.426531;19.589397
AOS;13-300;NOWE MIASTO LUBAWSKIE;TYSI•CLECIA 1/32;53.427347;19.590605
POZ;13-300;NOWE MIASTO LUBAWSKIE;DZIA£Y—SKICH 14;53.426027;19.592423
ZPO;13-300;NOWE MIASTO LUBAWSKIE;19-STYCZNIA 6;53.422759;19.59288
ZPO;13-300;NOWE MIASTO LUBAWSKIE;RYNEK 12;53.424325;19.592924
POZ;13-300;NOWE MIASTO LUBAWSKIE;TARGOWA 28;53.428091;19.593129
POZ;13-300;NOWE MIASTO LUBAWSKIE;TYSI•CLECIA 33;53.434148;19.593389
POZ;13-300;NOWE MIASTO LUBAWSKIE;SZKOLNA 3;53.426745;19.593483
SPO;13-300;NOWE MIASTO LUBAWSKIE;SZKOLNA 3;53.426745;19.593483
POZ;13-300;NOWE MIASTO LUBAWSKIE;JAGIELLO—SKA 3;53.420474;19.593715
ZPO;14-320;ZALEWO;29 STYCZNIA 18A;53.846082;19.600264
POZ;82-340;POGRODZIE;POGRODZIE 50;54.28826;19.6003
AOS;14-230;ZALEWO;29-GO STYCZNIA 18;53.845895;19.603445
POZ;14-230;ZALEWO;29-GO STYCZNIA 18;53.845895;19.603445
REH;14-230;ZALEWO;29-GO STYCZNIA 18;53.845895;19.603445
STM;14-230;ZALEWO;29-GO STYCZNIA 18;53.845895;19.603445
SZP;13-300;MSZANOWO;D£UGA 5;53.442981;19.606943
ZPO;14-230;ZALEWO;CZ STOCHOWSKA 13;53.845693;19.607138
RTM;14-230;ZALEWO;CZ STOCHOWSKA 8;53.845847;19.607593
